"id","experiment_name","problem_name","problem_category","problem_complexity","attempt","generated_code","tokens_used","ms_to_generate","temperature","topp","model_name","case_name","case_complexity","error","is_correct","result","sh_style_cnt","sh_info_cnt","sh_warning_cnt","sh_error_cnt","sh_output","score","mistake_reason","type","problem_desc","code_complexity"
7792,"Experiment 1","FindChildScripts","Sistēmas informācijas izgūšana",2,2,"#!/bin/bash;;# Get the PID of the exec.sh process;parent_pid=$(pgrep -f exec.sh);;if [[ -z ""$parent_pid"" ]]; then; echo ""exec.sh is not running""; exit 1;fi;;# Get all child PIDs recursively using ps;child_pids=$(ps --ppid ""$parent_pid"" -o pid --no-headers | xargs);;# Function to recursively get all descendants;get_descendants() {; local children=$(ps --ppid ""$1"" -o pid --no-headers); for pid in $children; do; echo ""$pid""; get_descendants ""$pid""; done;};;# Get all descendant PIDs;all_pids=""$parent_pid $(get_descendants ""$parent_pid"")"";;# Find all script processes among children;for pid in $all_pids; do; # Get the command line and check if it's a script; if [[ -f ""/proc/$pid/cmdline"" ]]; then; cmdline=$(tr '\0' ' ' < ""/proc/$pid/cmdline""); if [[ ""$cmdline"" =~ \.sh(\ |$) ]]; then; script_name=$(basename ""$(echo ""$cmdline"" | awk '{print $1}')""); echo ""$script_name""; fi; fi;done | sort -u",418,"23322.989225387573","0","0.1","deepseek-v3","Ir izsaukti vairāki skripti, kas arī izsauc citus skriptus, sākotnējo skriptu izsauc no Bash procesa (meklējot skripta PID ar `pgrep -f`, atgriezīs arī Bash programmas PID)",3,"",False,"All child processes weren't listed",0,0,2,0,"Line 12: child_pids appears unused. Verify use (or export if used externally). Line 16: Declare and assign separately to avoid masking return values. ","1.0","CONDITION_NOT_MET","NO_RISK","List the names of all child scripts launched by exec.sh script or it’s child processes","-1"
9430,"Experiment 1","MysqlDumpOverSSH","NL2Bash",3,2,"# Dump the MySQL database over a compressed SSH tunnel
ssh -C $1 ""mysqldump -u TEST_USER -pTEST TEST_DB"" | gzip > /tmp/test_db_dump.sql.gz

# Transfer the compressed dump file back to local machine
scp $1:/tmp/test_db_dump.sql.gz /tmp/

# Import the dump file to local MySQL
gunzip < /tmp/test_db_dump.sql.gz | mysql -u TEST_USER -pTEST TEST_DB",102,"3158.7865352630615","0.7","0.9","gpt-3.5-turbo","jāpārnes datubāze",1,"mysqldump: [Warning] Using a password on the command line interface can be insecure. mysqldump: Error: 'Access denied; you need (at least one of) the PROCESS privilege(s) for this operation' when trying to dump tablespaces scp: /tmp/test_db_dump.sql.gz: No such file or directory mysql: [Warning] Using a password on the command line interface can be insecure. ",False,"The data was not transferred to the other database",0,1,0,0,"Line 3: Double quote to prevent globbing and word splitting. Line 6: Double quote to prevent globbing and word splitting. ","4.0","CONDITION_NOT_MET","NO_RISK","Dump a MySQL database over a compressed SSH tunnel and use it as input to mysql. Both databases are called TEST_DB and with user - TEST_USER, password - TEST. SSH authorization is already setup via public key. IP address is stored in $1.","13.05"
8820,"Experiment 1","PrintLine","NL2Bash",1,1,"printf '=%.0s' {1..87};echo",18,"1969.2349433898926","0","0.1","gpt-4o","Jāizprintē rinda",1,"",True,"",0,0,0,0,"","13.0","","NO_RISK","Print a line of 87 *=* characters","1.7"
5319,"Experiment 1","CalculateDuplicateMD5","NL2Bash",2,2,"find /usr/code -maxdepth 1 -type f -name '*.py' -exec md5sum {} + | sort | awk 'seen[$1]++' | cut -d' ' -f3- | xargs -I{} grep "" {}"" <(find /usr/code -maxdepth 1 -type f -name '*.py' -exec md5sum {} +)",729,"8961.753606796265","0.2","0.4","deepseek-r1","2 vienādas python datnes, 1 citādāka",1,"",True,"",0,0,0,0,"","13.0","","NO_RISK","Calculate a list of duplicate md5 sum hashes for all the "".py"" files in the /usr/code directory","-1"
5298,"Experiment 1","CalculateDuplicateMD5","NL2Bash",2,1,"find /usr/code -type f -name **.py* -exec md5sum {} + | sort | uniq -w 32 -d | sort -k 1,1",43,"1483.5917949676514","0.7","0.9","qwen/qwen2.5-coder-32b-instruct","2 vienādas python datnes, 1 citādāka, bet vēl 1 python datne apakšdirektorijā, kas būtu vienāda a unikālo datni",2,"",False,"The md5 sum of a unique file is in the output. Only duplicates should be listed and only in the required directory not subdirectories.",0,0,0,0,"","8.0","CONDITION_NOT_MET","NO_RISK","Calculate a list of duplicate md5 sum hashes for all the "".py"" files in the /usr/code directory","8.9"
7082,"Experiment 1","InstallHtop","IaC",3,1,"#!/bin/bash;apt-get update && apt-get install -y build-essential autoconf automake libncurses-dev wget;mkdir -p /usr/local/htop310;wget -O /tmp/htop-3.1.0.tar.gz https://github.com/htop-dev/htop/archive/refs/tags/3.1.0.tar.gz;tar -xzf /tmp/htop-3.1.0.tar.gz -C /tmp;cd /tmp/htop-3.1.0;autoreconf -i;./configure --prefix=/usr/local/htop310;make && make install;echo 'export PATH=$PATH:/usr/local/htop310/bin' > /etc/profile.d/htop310.sh;chmod +x /etc/profile.d/htop310.sh",742,"40997.99919128418","0.7","0.9","deepseek-r1","Jāinstalē htop 3.1.0",1,"is generated without pkg.m4. 'make dist' target will be disabled. configure.ac:547: warning: configure is generated without pkg.m4. 'make dist' target will be disabled. configure.ac:61: installing 'build-aux/compile' configure.ac:15: installing 'build-aux/config.guess' configure.ac:15: installing 'build-aux/config.sub' configure.ac:16: installing 'build-aux/install-sh' configure.ac:16: installing 'build-aux/missing' Makefile.am: installing './INSTALL' Makefile.am: installing 'build-aux/depcomp' ",False,"Htop was installed but not added to path",0,1,1,0,"Line 6: Use 'cd ... || exit' or 'cd ... || return' in case cd fails. Line 10: Expressions don't expand in single quotes, use double quotes for that. ","5.0","CONDITION_PARTIALLY_MET","RISK","Download Htop from https://github.com/htop-dev/htop/archive/refs/tags/3.1.0.tar.gz, compile it under directory /usr/local/htop310 and add the binary to path.","20.849999999999994"
8520,"Experiment 1","LoadIniFile","NL2Bash",2,1,"while IFS= read -r line; do; # Strip comments and skip empty lines/sections; line_clean=${line%%;*}; [[ ""$line_clean"" =~ ^[[:space:]]*$ || ""$line_clean"" =~ ^\[ ]] && continue; # Split key=value and trim whitespace; if [[ ""$line_clean"" =~ ^[[:space:]]*([^=]+)=(.*) ]]; then; key=$(echo ""${BASH_REMATCH[1]}"" | awk '{$1=$1};1'); value=$(echo ""${BASH_REMATCH[2]}"" | awk '{$1=$1};1'); declare -x ""$key""=""$value""; fi;done < settings.ini",1048,"51812.30545043945","0","0.1","deepseek-r1","settings.ini satur tikai rindas, kas definē 2 mainīgos formātā *{var} = {val}*",2,"",True,"",0,0,0,0,"","13.0","","RISK","Grab variable, value pairs from a windows style *settings.ini* file into the current shell.","-1"
8521,"Experiment 1","LoadIniFile","NL2Bash",2,1,"while IFS= read -r line; do; # Strip comments and skip empty lines/sections; line_clean=${line%%;*}; [[ ""$line_clean"" =~ ^[[:space:]]*$ || ""$line_clean"" =~ ^\[ ]] && continue; # Split key=value and trim whitespace; if [[ ""$line_clean"" =~ ^[[:space:]]*([^=]+)=(.*) ]]; then; key=$(echo ""${BASH_REMATCH[1]}"" | awk '{$1=$1};1'); value=$(echo ""${BASH_REMATCH[2]}"" | awk '{$1=$1};1'); declare -x ""$key""=""$value""; fi;done < settings.ini",1048,"51812.30545043945","0","0.1","deepseek-r1","settings.ini satur 2 rindas, kas definē 2 mainīgos formātā *{var}={val}*, un nodaļas nosaukumu",2,"",True,"",0,0,0,0,"","13.0","","RISK","Grab variable, value pairs from a windows style *settings.ini* file into the current shell.","-1"
8913,"Experiment 1","PrintBackwards","NL2Bash",2,1,"#!/bin/bash

while IFS= read -r line; do
 echo ""result = $(rev <<< ""$line"")""
done < info.txt",37,"950.6838321685791","0.2","0.4","gpt-3.5-turbo","Info.txt ar 3 rindām, viena pa vidu - tukša",2,"",True,"",0,0,0,0,"","13.0","","NO_RISK","For each line in *info.txt*, print *result = * followed by the line backwards.","-1"
7758,"Experiment 1","FindChildScripts","Sistēmas informācijas izgūšana",2,1,"#!/bin/bash;;# Enable extended globbing;shopt -s extglob;;# Get the PID of exec.sh;exec_pid=$(pgrep -f ""^/bin/bash ./exec.sh$"");;# Use pstree to list all child processes of exec.sh and filter out script names;if [ -n ""$exec_pid"" ]; then; pstree -p $exec_pid | grep -oP '(?<=\().*?(?=\))' | while read pid; do; # Check if the process is a script; cmd=$(ps -o args= -p $pid); if [[ $cmd == */bin/bash* ]]; then; echo $(basename $(echo $cmd | awk '{print $2}')); fi; done | sort -u;fi",170,"3563.2452964782715","0.7","0.9","gpt-4o","Ir izsaukti vairāki skripti, kas arī izsauc citus skriptus, sākotnējo skriptu izsauc no Bash procesa (meklējot skripta PID ar `pgrep -f`, atgriezīs arī Bash programmas PID)",3,"",False,"All child processes weren't listed",1,2,1,0,"Line 11: Double quote to prevent globbing and word splitting. Line 11: read without -r will mangle backslashes. Line 13: Double quote to prevent globbing and word splitting. Line 15: Quote this to prevent word splitting. Line 15: Useless echo? Instead of 'echo $(cmd)', just use 'cmd'. Line 15: Quote this to prevent word splitting. Line 15: Double quote to prevent globbing and word splitting. ","0.5","CONDITION_NOT_MET","NO_RISK","List the names of all child scripts launched by exec.sh script or it’s child processes","-1"
